# 3193 unresolved booktitles sorted by row frequency
# 309624 unresolved conference rows
# rows	booktitle

62	DMDW
62	EHCI/DS-VIS
62	ETT
62	Graphics Hardware
62	Great Lakes Computer Science Conference
62	ICSECS (2)
62	IPCC (2)
62	Kurt Gödel Colloquium
62	mLearn
62	ReTIS
62	Workshop on Parallel and Distributed Debugging
61	ACAL
61	ACST
61	AFL
61	DIALM-POMC
61	EWSA
61	Expert Database Conf.
61	FGIT-SecTech
61	ICSECS (3)
61	IW-MMDBMS
61	KDID
61	Multimedia Technology and Applications
61	SustainIT
61	WISM (3)
60	Advances in Computer Graphics Hardware
60	CyberSec
60	DANTE
60	EG-ICE
60	ICEIS (Selected Papers)
60	INTERWORKING
60	ITIB
60	Learning to Live in the Knowledge Society
60	Modelling, Simulation, and Optimization
60	NMA
60	ONTOBRAS-MOST
60	PPSWR
60	Rules in Database Systems
60	SeGAH
60	SETP
60	Software Quality and Productivity
60	VRIC
60	Wireless Information Systems
59	Advances in Computer Graphics
59	AFRICOMM
59	AIR
59	AMLTA
59	CACSD
59	DSDE
59	East/West Database Workshop
59	EWIMT
59	Green Computing Conference
59	Heinz Nixdorf Symposium
59	HERCMA
59	ICIRA (3)
59	ICSECS (1)
59	IISA
59	KICSS
59	MCAM
59	MIPS
59	SASN
59	SERENE
59	SPPRA
59	Woman into Computing
58	APDC
58	EGOV (Workshops and Posters)
58	HCIS
58	HPAGC
58	ICLA
58	IMYCS
58	INAP/WLP
58	IRAL
58	Linguistic Annotation Workshop
58	S-CUBE
58	SEM
58	VVS
57	AMiRE
57	Education for the 21st Century
57	FACS
57	IWPACBB
57	IWRT
57	NanoNet
57	PROCOMET
57	ProMAS
57	TAIC PART
56	3D-GIS
56	3DV
56	AOSD (Companion)
56	CoLIS
56	CVBIA
56	Data Warehousing
56	DMO
56	HAISA
56	HEALTHINF (1)
56	IC3 (1)
56	ICHIM (2)
56	Interaction between Compilers and Computer Architectures
56	IPTComm
56	ITAT
56	LSMS/ICSEE (2)
56	VARE
56	VCBM
56	WISM (1)
56	WISM (2)
56	Workshop on Wireless Security
56	WSTFEUS
55	CISIS/ICEUTE/SOCO Special Sessions
55	EGOVIS
55	GandALF
55	GULP-PRODE
55	Informatik cui bono?
55	Innovationen im E-Business
